similarity,combination
3,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
10,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
4,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
10,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
4,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
9,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
13,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'TokenSale.sol']
7,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
12,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
6,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'TokenSale.sol', 'ERC20.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
