similarity,combination
6,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicToken.sol']
5,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'TokenSale.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223TokenReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'SmartOracle.sol']
2,['SafeMath.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'ERC223.sol']
10,['SafeMath.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
6,['SafeMath.sol', 'Standard223Receiver.sol', 'TokenSale.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'Standard223TokenReceiverMock.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'ERC223.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'SmartOracle.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'ERC20.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'Standard223TokenReceiverMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
7,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol']
6,['SafeMath.sol', 'ERC20Basic.sol', 'TokenSale.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC20.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'Standard223TokenReceiverMock.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'Standard223TokenReceiverMock.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'Standard223TokenReceiverMock.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC223.sol']
4,['SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'StandardToken.sol', 'TokenSale.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'Standard223TokenReceiverMock.sol']
2,['SafeMath.sol', 'ERC223.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'ERC223.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'ERC223.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'ERC223.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'ERC223.sol', 'ERC20.sol']
2,['SafeMath.sol', 'ERC223.sol', 'Standard223TokenReceiverMock.sol']
3,['SafeMath.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'LinkToken.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'LinkToken.sol', 'Standard223TokenReceiverMock.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'ERC223Receiver.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol', 'Standard223TokenReceiverMock.sol']
10,['SafeMath.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'BasicToken.sol', 'Standard223TokenReceiverMock.sol']
8,['SafeMath.sol', 'TokenSale.sol', 'ERC20.sol']
7,['SafeMath.sol', 'TokenSale.sol', 'Standard223TokenReceiverMock.sol']
1,['SafeMath.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol']
0,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'LinkReceiver.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223TokenReceiverTest.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Receiver.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'SmartOracle.sol']
6,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'ERC20Basic.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'BasicTokenMock.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'StandardTokenMock.sol']
2,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'StandardToken.sol']
0,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'ERC223.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'LinkToken.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'ERC223Receiver.sol']
2,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'BasicToken.sol']
