similarity,combination
14,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'Token677.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'linkStandardToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token677.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol', 'Token677.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'LinkToken.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'Token677.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'Token677.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'Token677.sol']
